iter	Passed	Remaining
0	143	143726
1	146	73038
2	148	49433
3	151	37651
4	154	30688
5	156	25970
6	158	22461
7	160	19917
8	163	17981
9	165	16401
10	168	15151
11	171	14096
12	173	13179
13	175	12392
14	178	11718
15	180	11115
16	183	10627
17	186	10165
18	188	9736
19	191	9363
20	193	9018
21	195	8709
22	198	8439
23	209	8501
24	213	8329
25	219	8229
26	225	8117
27	230	8014
28	234	7837
29	237	7670
30	240	7502
31	245	7416
32	249	7297
33	251	7150
34	253	7002
35	257	6882
36	259	6760
37	262	6641
38	266	6558
39	269	6475
40	273	6387
41	276	6311
42	280	6249
43	285	6193
44	289	6141
45	292	6066
46	295	5993
47	298	5923
48	302	5861
49	308	5867
50	312	5809
51	315	5744
52	318	5686
53	321	5632
54	325	5594
55	329	5553
56	332	5497
57	335	5447
58	338	5397
59	341	5352
60	345	5318
61	348	5267
62	351	5230
63	354	5186
64	357	5145
65	360	5104
66	364	5080
67	368	5046
68	371	5007
69	374	4974
70	377	4943
71	381	4911
72	384	4882
73	387	4848
74	390	4813
75	393	4789
76	397	4760
77	399	4722
78	401	4685
79	404	4650
80	406	4614
81	409	4584
82	412	4552
83	414	4520
84	417	4492
85	419	4462
86	422	4438
87	425	4409
88	428	4381
89	430	4356
90	433	4328
91	435	4301
92	438	4273
93	440	4246
94	443	4225
95	446	4199
96	448	4175
97	450	4150
98	453	4124
99	458	4123
100	460	4098
101	463	4078
102	465	4056
103	468	4033
104	470	4013
105	473	3995
106	476	3978
107	479	3958
108	482	3940
109	484	3921
110	486	3899
111	489	3881
112	492	3862
113	494	3842
114	496	3824
115	499	3805
116	502	3788
117	504	3771
118	506	3752
119	509	3736
120	511	3718
121	514	3701
122	516	3684
123	519	3667
124	521	3652
125	524	3636
126	526	3618
127	530	3611
128	532	3595
129	534	3579
130	537	3568
131	540	3552
132	542	3539
133	545	3523
134	547	3507
135	550	3494
136	552	3478
137	554	3464
138	557	3450
139	559	3436
140	562	3423
141	564	3411
142	566	3397
143	569	3386
144	572	3373
145	574	3359
146	577	3349
147	579	3338
148	582	3328
149	585	3317
150	588	3309
151	591	3299
152	593	3287
153	596	3277
154	599	3270
155	604	3269
156	608	3266
157	611	3257
158	614	3247
159	616	3238
160	619	3230
161	623	3225
162	626	3216
163	629	3208
164	632	3198
165	634	3188
166	637	3178
167	639	3168
168	642	3158
169	644	3148
170	647	3138
171	652	3138
172	655	3133
173	658	3128
174	661	3120
175	664	3112
176	667	3102
177	670	3095
178	673	3087
179	676	3082
180	679	3073
181	682	3068
182	685	3060
183	688	3054
184	691	3047
185	694	3040
186	697	3033
187	700	3023
188	703	3017
189	705	3008
190	709	3005
191	712	2997
192	715	2992
193	718	2984
194	720	2975
195	723	2966
196	725	2957
197	728	2949
198	730	2941
199	733	2932
200	735	2925
201	738	2917
202	741	2912
203	744	2904
204	746	2895
205	749	2887
206	751	2879
207	753	2870
208	756	2862
209	758	2854
210	761	2846
211	763	2838
212	766	2830
213	768	2823
214	771	2816
215	773	2807
216	776	2801
217	778	2792
218	781	2785
219	783	2778
220	785	2770
221	788	2763
222	791	2756
223	793	2748
224	796	2742
225	798	2734
226	800	2727
227	803	2721
228	806	2714
229	808	2708
230	811	2700
231	813	2692
232	816	2686
233	818	2680
234	821	2674
235	823	2666
236	825	2659
237	828	2652
238	830	2645
239	833	2638
240	835	2631
241	837	2624
242	840	2618
243	843	2612
244	845	2605
245	848	2600
246	850	2593
247	853	2588
248	856	2582
249	858	2576
250	861	2570
251	863	2564
252	866	2558
253	869	2554
254	872	2549
255	875	2543
256	877	2537
257	880	2531
258	882	2525
259	884	2518
260	887	2512
261	889	2505
262	892	2499
263	894	2493
264	896	2487
265	898	2480
266	901	2474
267	903	2469
268	906	2464
269	909	2458
270	912	2455
271	915	2450
272	919	2447
273	921	2442
274	924	2436
275	927	2431
276	929	2426
277	932	2422
278	935	2416
279	937	2411
280	940	2406
281	943	2401
282	947	2399
283	950	2395
284	953	2391
285	955	2386
286	959	2384
287	962	2380
288	966	2378
289	969	2373
290	972	2368
291	975	2365
292	979	2364
293	982	2359
294	985	2355
295	988	2350
296	991	2346
297	994	2342
298	996	2337
299	1000	2334
300	1003	2329
301	1012	2339
302	1020	2346
303	1027	2351
304	1032	2352
305	1037	2352
306	1043	2355
307	1047	2353
308	1049	2348
309	1053	2344
310	1056	2339
311	1062	2342
312	1065	2338
313	1067	2332
